IPK,Skor_Motivasi_Tertulis,Skor_Literasi_Finansial,Surat_Rekomendasi,Aktif_Organisasi,Jumlah_Kegiatan_Relawan,Skor_Keaktifan_Kampus,Rekam_Ketidakhadiran,Semester,Status_Kelayakan,Kategori_Ekonomi,Skor_Performa_Dinamis
3.4,77,71,Ada,Tidak,4,55,6,2,1,Rentan,70.0
3.14,98,77,Tidak,Ya,1,55,12,7,0,Stabil,60.1
3.83,73,29,Ada,Tidak,4,52,7,5,0,Stabil,75.85
3.51,88,87,Ada,Ya,5,60,14,2,1,Stabil,74.65
3.01,91,31,Tidak,Tidak,5,91,14,1,0,Stabil,73.35
3.01,59,67,Ada,Ya,0,88,2,5,0,Stabil,62.75
3.53,79,80,Ada,Ya,2,82,5,5,1,Rentan,73.35
2.59,69,93,Ada,Ya,0,65,18,4,0,Rentan,51.85
2.92,88,85,Tidak,Tidak,1,84,6,8,0,Stabil,62.599999999999994
2.34,64,4,Ada,Ya,4,95,20,6,0,Stabil,62.1
3.25,65,45,Tidak,Tidak,4,62,3,6,0,Stabil,69.15
2.99,56,23,Ada,Ya,2,62,17,7,0,Rentan,61.25
2.96,98,7,Ada,Tidak,0,76,15,5,0,Rentan,59.6
3.58,81,95,Ada,Tidak,4,68,6,3,1,Stabil,75.3
3.19,54,79,Ada,Ya,1,57,18,1,0,Stabil,61.25
2.78,58,9,Tidak,Tidak,1,70,2,2,0,Stabil,57.699999999999996
2.69,89,33,Ada,Ya,4,92,3,4,0,Stabil,66.75
3.64,66,5,Tidak,Ya,5,53,2,2,0,Rentan,75.2
3.5,94,16,Ada,Ya,0,73,18,1,1,Rentan,67.1
3.27,76,22,Ada,Ya,4,60,5,5,1,Rentan,69.05
3.15,100,8,Ada,Tidak,3,51,6,7,1,Rentan,63.45
3.08,66,55,Ada,Ya,4,88,13,6,0,Stabil,71.8
3.34,97,79,Ada,Ya,4,77,2,2,1,Rentan,73.5
2.49,74,36,Ada,Ya,3,75,17,2,0,Stabil,58.35
3.43,55,25,Tidak,Ya,5,55,7,4,0,Stabil,72.44999999999999
3.56,74,96,Tidak,Tidak,1,65,4,3,0,Stabil,68.4
2.6,79,20,Tidak,Tidak,3,89,16,2,0,Stabil,62.8
3.64,78,17,Ada,Ya,5,65,8,8,1,Rentan,77.6
3.67,76,45,Tidak,Ya,0,98,18,4,1,Rentan,74.65
2.84,71,50,Tidak,Ya,3,79,4,7,0,Stabil,64.4
3.59,71,60,Tidak,Ya,1,98,13,1,1,Rentan,75.45
3.52,89,59,Ada,Tidak,1,58,15,1,1,Rentan,66.4
